First Name,Last Name,Position,Jersey,Team,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,saa,saves,savePct,scoresAgainst,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
Ryan,Brown,A,4,Atlas,5,6,6,6,6,0,0,23,0.2608695652173913,15,0.6521739130434783,1,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Paul,Rabil,M,99,Atlas,5,5,1,1,1,0,4,19,0.05263157894736842,8,0.42105263157894735,3,0,2,0.6666666666666666,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mike,Simon,LSM,66,Archers,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kyle,Hartzell,LSM,81,Atlas,5,0,0,0,0,0,0,4,0,2,0.5,1,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Jack,Concannon,G,12,Atlas,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,12.161630870040044,69,0.5655737705,58,5,0,0,0,0,0,0,0,0,0
Kieran,McArdle,A,6,Waterdogs,5,14,8,8,8,0,6,26,0.3076923076923077,18,0.6923076923076923,1,0,0,0,15,2,6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Kevin,Unterstein,M,13,Atlas,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
John,Crawley,M,44,Atlas,5,5,3,3,3,0,2,11,0.2727272727272727,7,0.6363636363636364,2,0,1,0.5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel,Tinney,M,55,Atlas,5,1,0,0,0,0,1,2,0,1,0.5,0,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jake,Richard,M,27,Atlas,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
